ID;pName
885;Marcus, Andrian
889;Barry Saltzman
896;H.E. Landsberg
897;J. van Mieghem
901;Daniel Amyot
906;H. Ronald Kaback
912;Martin Dietzfelbinger
916;David Benavides
917;Pablo Trinidad
918;Antonio Ruiz Cortés
919;Sergio Segura
923;Hans-rüdiger Pfister
927;Klaus Echtle
930;David Gainey
931;John “JR” Robeck
932;Cassidy Curtis
933;Carl Rosendahl
934;Julie Haddon
936;Linda Lum
937;Cathy Nelson
938;Dennis Carnahan
939;Lars Magnus Holmgren
941;Yukio Tamura
942;Alan Jeary
946;Geppino Pucci
951;Christopher J. Knowles
954;N. Seshagiri
957;Mirka Miller
958;Bharati Rajan
959;Indra Rajasingh
963;Linda J. Barton
964;Jennifer E. Prittie
976;S. Ranganathan
980;Chee K. Yap
982;Hoon Hong
985;Sergi Jordà
989;Barry Liner
993;Lord Zuckerman
996;Beata Konikowska
997;Anna Zamansky
1007;Shahbudin H. Rahimtoola
1010;Lihong Zhi
1014;Michael T. Bowers
1021;John D. Siirola
1022;Gavin P. Towler
1029;Henry Munson
1036;Ian Horrocks
1040;I Maisky
1043;Wei-Xuan Xu
1044;Yi-Ming Wei
1046;Bao-Guang Xu
1049;Margareta Nordin
1050;Thomas L. Vischer
1053;Bruce J. Hillman
1057;Martin Weiser
1058;Hareesh Mavoori
1059;Srinivas Chada
1062;Marta Della Seta
1064;Salvatore Ivo Giano
1066;Marcello Schiattarella
1070;J.L.B.
1074;W. Kuperberg
1078;Trapp
1084;Giampaoli Simona
1086;Capewell Simon
1087;Shelley Emer
1088;Allender Steven
1089;Briggs Andrew
1090;Jorgensen Torben
1091;Labarthe Darwin
1092;Marques-Vidal Pedro
1093;Stegmayr Birgitta
1094;Verschuren W M Monique
1095;Zdrojewski Tomasz
1099;Edmund Donges
1103;Arne Bartels
1104;Simon Steinmeyer
1105;Stefan Brosig
1106;Carsten Spichalsky
1108;J. H. Harless
1111;Alexander Frank
1112;Rainer Stotzka
1113;Thomas Jejkal
1114;Volker Hartmann
1115;Michael Sutter
1116;Nicole V. Ruiter
1117;Michael Zapf
1121;Dennis A. Benson
1122;Mark S. Boguski
1123;David J. Lipman
1124;James Ostell
1125;B. F. Francis Ouellette
1126;Barbara A. Rapp
1127;David L. Wheeler
1131;Ilene Karsch-Mizrachi
1134;Karen Clark
1135;Eric W. Sayers
1140;Dorothee Wilms
1143;Sergio Areias
1144;Daniela Carneiro da Cruz
1145;Pedro Rangel Henriques
1146;Jorge Sousa Pinto
1152;Robert L. Glass
1157;Christoph F.-J. Goetz
1161;Klaus-dieter Althoff
1162;Ralph Bergmann
1165;Franz Rothlauf
1166;Armin Heinzl
1169;Andreas Günter
1172;Eric Nyberg
1173;Rita Mccardell Doerr
1174;Donna Gates
1175;Sergei Nirenburg
1179;Marcus Kracht
1183;Paul A. Longley
1184;David J. Maguire
1187;Junichiro Makino
1192;Tommy R. Jensen
1215;Bart Preneel
1221;Masa Inakage
1225;W. Mache
1229;A. S. Fraenkel
1233;Marc Rettig
1237;Keith Nesson
1238;Wesley Hein
1242;Pam Lehn
1245;Lionel Fages
1247;Suzanne Datz
1249;Bill T. Jones
1250;Paul Kaiser
1251;Shelley Eshkar
1252;Michael Girard
1253;Susan Amkraut
1255;Gregory P. Garvey
1257;Santi Fort
1259;Tanel Tammet
1264;Henri Boucher
1268;Yvonne Dittrich
1272;Bill Hibbard
1276;Edward Zajec
1280;Kazuto Kamiyama
1282;Hiroyuki Kajimoto
1283;Kevin Vlack
1284;Naoki Kawakami
1285;Terukazu Mizota
1287;Susumu Tachi
1291;Simon Gog
1293;Martin Bader
1294;Enno Ohlebusch
1298;Fabian Abel
1299;Nicola Henze
1300;Daniel Krause
1304;Lusong Li
1305;Tao Mei
1306;Chris Liu
1307;Xian-Sheng Hua
1310;Coke Ferreiro
1313;Alli Sadegiani
1317;Jerry R. Hobbs
1324;Marc Yates
1327;Patrick O'Brien
1330;Paul Gray
1333;Amit Chourasia
1337;Diomidis Spinellis
1341;Mark Bernstein
1343;Stacey Mason
1347;S. Jagannathan
1349;G. Galan
1353;Keisuke Itou
1356;Bobo Nick
1358;Brigitte Rockstroh
1360;Astrid Steffen
1364;Hannes Ziegler
1367;Friedemann W. Nerdinger
1369;Gerhard Kleining
1371;Juri Kropotov
1375;P. Ramat
1379;Sonja J. Prohaska
1380;Peter F. Stadler
1384;Karl-Heinrich Wulf
1388;Edmond Bianco
1392;Jerome E. Dobson
1393;Peter F. Fisher
1397;Waltraut Kruse
1400;Rudolf Faber
1403;Alois Potton
1408;Hagen Schempf
1409;Edward Mutschler
1410;Vitaly Goltsberg
1411;William Crowley
