ID;Name
35315;University of Illinois at Urbana-Champaign Department of Philosophy Urbana IL 61801 USA
35619;University of Paris
35690;Universität Oldenburg Department für Informatik Escherweg 2 26121 Oldenburg Germany
35725;University of Western Sydney School of Computing and IT 10 Kingswood NSW 2747 Australia
36222;University Miguel Hernández of Elche Operations Research Center 03202 Elche (Alicante) Spain
36350;University of the Arts
36376;University of Surrey
36517;University of South Florida
36906;Université Libre de Bruxelles
36946;University of Luxembourg CSC research unit Luxembourg
37588;University of Berne
37669;University of British Columbia
37689;University of Duisburg-Essen
37849;Universitat Heidelberg
37872;University of La Coruña
37938;University of Technology
38303;Univ. of Utah
38726;University of Groningen The Netherlands
38788;Univ. di Milano
38790;Univ. di Pavia
38924;Université Joseph Fourier
39035;University of Victoria
39037;University of Saskatchewan
39096;Universidad de Murcia
39131;Univ. of Alabama
39140;University of Padova Piazza Capitaniato 3 35139 Padova Italy
39199;University of Utah
39336;Università di Pisa
39360;University of Sussex ESRC Centre for Science
39392;University of Melbourne Centre for Applied Philosophy and Public Ethics
39418;University of Hong Kong Hong Kong
39429;University of Edinburgh
39763;Universität Leipzig Institut für Logik und Wissenschaftstheorie Burgstraße 21 04109 Leipzig Germany
39776;University of Georgia
40191;United Nations Univ.
40319;University of York
40605;University of Wisconsin Dempsey Hall
41272;University of Michigan|c|
41351;Universität Karlsruhe
41357;University of the District of Columbia
41379;University of Strathclyde
41611;University of Waterloo Department of English Waterloo Ontario Canada
41915;University of Lancaster Departments of Computing UK
41917;University of Edinburgh Institute for Communicating and Collaborative Systems
41956;University of Sheffield
41974;University of Salamanca
42141;Univ. of Delaware
42450;University of Colorado Philosophy Department CB 232 Boulder CO 80309-0232 USA CB 232 Boulder CO 80309-0232 USA
42463;Univ. Padova
42482;Univ Wisconsin
42645;Univ Connecticut
42647;Univ Neuchatel
42672;University of Arizona
42674;University of Applied Sciences Basel
42750;University of Oklahoma Oklahoma City
42991;University of Dayton
42996;University of Agder
43347;Univ. Lille
43677;University of Neuchâtel Switzerland
43694;Universidad Nacional Autónoma de México
43818;University of North Carolina
43843;Universität Hannover
44175;Univ. of Alberta
44216;University of Vermont
44435;Univ. of Helsinki
44616;University of California Berkeley
44637;Universití degli Studi di Milano
44760;University of Bergen
45015;Univ. of Chicago
45037;Univ. of Illinois at Urbana
45061;Univ. of London
45949;Universität des Saarlandes
46301;University of Hawaii at Manoa
46310;University of Lancaster
46355;University of Aarhus
46450;University of Illinois Chicago
46541;University of Debrecen
46573;University of Oklahoma
